list_name,species_code
Common Northeast,amered
Common Northeast,babwar
Common Northeast,bawwar
Common Northeast,btbwar
Common Northeast,btnwar
Common Northeast,bkbwar
Common Northeast,buwwar
Common Northeast,canwar
Common Northeast,cerwar
Common Northeast,chswar
Common Northeast,comyel
Common Northeast,conwar
Common Northeast,gowwar
Common Northeast,kenwar
Common Northeast,louwat
Common Northeast,magwar
Common Northeast,mouwar
Common Northeast,naswar
Common Northeast,norpar
Common Northeast,norwat
Common Northeast,orcwar
Common Northeast,ovenbi1
Common Northeast,palwar
Common Northeast,pinwar
Common Northeast,prawar
Common Northeast,prowar
Common Northeast,tenwar
Common Northeast,wlswar
Common Northeast,woewar1
Common Northeast,yelwar
Common Northeast,yrwar
Common Northeast,yetwar
