id,species_code,common_name,scientific_name,family,region,difficulty
1,amered,American Redstart,Setophaga ruticilla,Parulidae,Northeast,1
2,babwar,Bay-breasted Warbler,Setophaga castanea,Parulidae,Northeast,1
3,bawwar,Black-and-white Warbler,Mniotilta varia,Parulidae,Northeast,1
4,btbwar,Black-throated Blue Warbler,Setophaga caerulescens,Parulidae,Northeast,1
5,btnwar,Black-throated Green Warbler,Setophaga virens,Parulidae,Northeast,1
6,bkbwar,Blackburnian Warbler,Setophaga fusca,Parulidae,Northeast,1
7,bkpwar,Blackpoll Warbler,Setophaga striata,Parulidae,Northeast,1
8,buwwar,Blue-winged Warbler,Vermivora cyanoptera,Parulidae,Northeast,1
9,canwar,Canada Warbler,Cardellina canadensis,Parulidae,Northeast,1
10,camwar,Cape May Warbler,Setophaga tigrina,Parulidae,Northeast,1
11,cerwar,Cerulean Warbler,Setophaga cerulea,Parulidae,Northeast,1
12,chswar,Chestnut-sided Warbler,Setophaga pensylvanica,Parulidae,Northeast,1
13,comyel,Common Yellowthroat,Geothlypis trichas,Parulidae,Northeast,1
14,conwar,Connecticut Warbler,Oporornis agilis,Parulidae,Northeast,1
15,gowwar,Golden-winged Warbler,Vermivora chrysoptera,Parulidae,Northeast,1
16,hoowar,Hooded Warbler,Setophaga citrina,Parulidae,Northeast,1
17,kenwar,Kentucky Warbler,Geothlypis formosa,Parulidae,Northeast,1
18,louwat,Louisiana Waterthrush,Parkesia motacilla,Parulidae,Northeast,1
19,magwar,Magnolia Warbler,Setophaga magnolia,Parulidae,Northeast,1
20,mouwar,Mourning Warbler,Geothlypis philadelphia,Parulidae,Northeast,1
21,naswar,Nashville Warbler,Leiothlypis ruficapilla,Parulidae,Northeast,1
22,norpar,Northern Parula,Setophaga americana,Parulidae,Northeast,1
23,norwat,Northern Waterthrush,Parkesia noveboracensis,Parulidae,Northeast,1
24,orcwar,Orange-crowned Warbler,Leiothlypis celata,Parulidae,Northeast,1
25,ovenbi1,Ovenbird,Seiurus aurocapilla,Parulidae,Northeast,1
26,palwar,Palm Warbler,Setophaga palmarum,Parulidae,Northeast,1
27,pinwar,Pine Warbler,Setophaga pinus,Parulidae,Northeast,1
28,prawar,Prairie Warbler,Setophaga discolor,Parulidae,Northeast,1
29,prowar,Prothonotary Warbler,Protonotaria citrea,Parulidae,Northeast,1
30,tenwar,Tennessee Warbler,Leiothlypis peregrina,Parulidae,Northeast,1
31,wlswar,Wilson's Warbler,Cardellina pusilla,Parulidae,Northeast,1
32,woewar1,Worm-eating Warbler,Helmitheros vermivorum,Parulidae,Northeast,1
33,yelwar,Yellow Warbler,Setophaga petechia,Parulidae,Northeast,1
34,yerwar,Yellow-rumped Warbler,Setophaga coronata,Parulidae,Northeast,1
35,yetwar,Yellow-throated Warbler,Setophaga dominica,Parulidae,Northeast,1
